"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-safari_121_ios_122","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_130_osx_10146","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_154_osx_1231","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","search.judilibre.io/51.159.85.176","443","INFO","No connection","",""
"clientsimulation-java_8u161","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java1703","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_283","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_102e","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"rating_spec","search.judilibre.io/51.159.85.176","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","search.judilibre.io/51.159.85.176","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","search.judilibre.io/51.159.85.176","443","INFO","100","",""
"protocol_support_score_weighted","search.judilibre.io/51.159.85.176","443","INFO","30","",""
"key_exchange_score","search.judilibre.io/51.159.85.176","443","INFO","90","",""
"key_exchange_score_weighted","search.judilibre.io/51.159.85.176","443","INFO","27","",""
"cipher_strength_score","search.judilibre.io/51.159.85.176","443","INFO","60","",""
"cipher_strength_score_weighted","search.judilibre.io/51.159.85.176","443","INFO","24","",""
"final_score","search.judilibre.io/51.159.85.176","443","INFO","81","",""
"overall_grade","search.judilibre.io/51.159.85.176","443","OK","A+","",""
