"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_extlifeSpan","search.judilibre.io/51.159.85.176","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","search.judilibre.io/51.159.85.176","443","INFO","not present","",""
"cert_crlDistributionPoints","search.judilibre.io/51.159.85.176","443","INFO","--","",""
"cert_ocspURL","search.judilibre.io/51.159.85.176","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","search.judilibre.io/51.159.85.176","443","LOW","not offered","",""
"cert_mustStapleExtension","search.judilibre.io/51.159.85.176","443","INFO","--","",""
"DNS_CAArecord","search.judilibre.io/51.159.85.176","443","LOW","--","",""
"certificate_transparency","search.judilibre.io/51.159.85.176","443","OK","yes (certificate extension)","",""
"certs_countServer","search.judilibre.io/51.159.85.176","443","INFO","2","",""
"certs_list_ordering_problem","search.judilibre.io/51.159.85.176","443","INFO","no","",""
"cert_caIssuers","search.judilibre.io/51.159.85.176","443","INFO","R3 (Let's Encrypt from US)","",""
