"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_extlifeSpan","piste.gouv.fr/185.24.185.46","443","INFO","730 =< 398 days","",""
"cert_eTLS","piste.gouv.fr/185.24.185.46","443","INFO","not present","",""
"cert_crlDistributionPoints","piste.gouv.fr/185.24.185.46","443","INFO","http://crl.certigna.fr/wildca.crl http://crl.dhimyotis.com/wildca.crl","",""
"cert_ocspURL","piste.gouv.fr/185.24.185.46","443","INFO","http://wildca.ocsp.certigna.fr http://wildca.ocsp.dhimyotis.com","",""
"OCSP_stapling","piste.gouv.fr/185.24.185.46","443","LOW","not offered","",""
"cert_mustStapleExtension","piste.gouv.fr/185.24.185.46","443","INFO","--","",""
"DNS_CAArecord","piste.gouv.fr/185.24.185.46","443","LOW","--","",""
"certificate_transparency","piste.gouv.fr/185.24.185.46","443","OK","yes (certificate extension)","",""
"certs_countServer","piste.gouv.fr/185.24.185.46","443","INFO","3","",""
"certs_list_ordering_problem","piste.gouv.fr/185.24.185.46","443","INFO","no","",""
"cert_caIssuers","piste.gouv.fr/185.24.185.46","443","INFO","Certigna Wild CA (DHIMYOTIS from FR)","",""
"intermediate_cert <#1>","piste.gouv.fr/185.24.185.46","443","INFO","-----BEGIN CERTIFICATE----- MIIGEzCCBPugAwIBAgIRAKsHje7d2scjBfXtjFCE+JUwDQYJKoZIhvcNAQELBQAw NDELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURoaW15b3RpczERMA8GA1UEAwwIQ2Vy dGlnbmEwHhcNMTUxMTI1MTEwNjM1WhcNMjUxMTIyMTEwNjM1WjB5MQswCQYDVQQG EwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4 MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEZMBcGA1UEAwwQ Q2VydGlnbmEgV2lsZCBDQTCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoCggIB AMKObo8+zKbR8c72LGVWbQkbBefXUKiFNfBqfAiXvq8sI1DA5eVfbtPyoZUng34X P2I4kAfOe4aHkWnN9vNZUwUlYTnJa8qK9bBGdz63j1MOV7WCf4jRRhnRmx6NHH2M e7xzmbYitcg0rKmhz9CnDSBWqhtgHkgjtFFiUteSCMB1hb3f+dfdGFl464HCwxff nJaKC3Htm/j320eopRPO8BvzRo1DnC9u28l51wI9qAC2FZD5tQ5uAqZImj7o4HdL EqA5ziEyYLHa7nNwM6jmGrhp6D7uGVAhQxereOCH7U3Ge1I+iBjGqw4sMtPduCc+ 1ikDXnod8M4t4bvg5YykFmzkNKL9XcohRv5DsV4ce9Z+aGlC9c8cREHd13I2epK7 XmIAA93NhOHQ88p+FRFWhOEvRZGejs+KYkq1/usNE+EqJQ1TJZ9SeeRGSV3Ytbw1 Xn7IqqpwMpJCmAcHLyXL/9Z2hFXDiKI6wnn7eaKWELNRIHoIaviLpQKOPn9V73Qr vk/ywMIGQlzkU9kemgVneG6fW8FRp7Hmi7NM4D9OJDBMun1K2W+KTpwTHX6W5iA3 4yiPsFTHIreipI8GXx1enz8PYxreaMANEC55uMRJE689jYRRg0dM2ixuLRhsiS8X 6hZWEfl3If4MAA4N9VyJSAGQMlZyxWszCcSPRlrDLSEXAgMBAAGjggHZMIIB1TAS BgNVHRMBAf8ECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQUjnwX t7z3w7SY1rY1mSIqxMOeJGcwZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF9lo5 3BGhOKQ2MDQxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAPBgNV BAMMCENlcnRpZ25hggkA/tzjAQ/JSP8wSQYDVR0gBEIwQDA+BgoqgXoBgTEBAAEC MDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNlcnRpZ25hLmZyL2F1dG9yaXRl cy8wfAYIKwYBBQUHAQEEcDBuMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3JpdGUu Y2VydGlnbmEuZnIvY2VydGlnbmEuZGVyMDYGCCsGAQUFBzAChipodHRwOi8vYXV0 b3JpdGUuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5kZXIwYQYDVR0fBFowWDApoCeg JYYjaHR0cDovL2NybC5jZXJ0aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeGJWh0 dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcNAQEL BQADggEBAAl2DvdTzWlpYnL+s6vfAgpnRFL0mLIXpIP692SVPznffIyWyEhdGg/x NCylrNjouJK+aMZKCMVP22GOtQnGo7ANQHd5TWeulrose/XYSqCKNnhybEuclivO SzahUacthq10KqLGGvookK+vSVNu7bfsrQK+1aLcd3tA+tmRPTqx7IYoyMr3Syv6 MCLWO1tuwa4UEWyDZxzqSxaf8zmz+l5iURjcIn5Qthgu/PC+tA/LjioQ8+okV6qC 4CRLkW4wgUH3Ss09tkCBrpr+PJo02Ktrj1VsJd42CKElsFlXoHxwye05K8mMm8Wt E/GOkOnWICpBAaQT0na2YmgUXrmyjdo= -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","piste.gouv.fr/185.24.185.46","443","INFO","211F3083B9E77A01D0828565897A1CE945EEAAE04942CCC369087D8080C9E4A6","",""
"intermediate_cert_notBefore <#1>","piste.gouv.fr/185.24.185.46","443","INFO","2015-11-25 11:06","",""
"intermediate_cert_notAfter <#1>","piste.gouv.fr/185.24.185.46","443","OK","2025-11-22 11:06","",""
"intermediate_cert_expiration <#1>","piste.gouv.fr/185.24.185.46","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","piste.gouv.fr/185.24.185.46","443","INFO","Certigna Wild CA <-- Certigna","",""
"intermediate_cert <#2>","piste.gouv.fr/185.24.185.46","443","INFO","-----BEGIN CERTIFICATE----- MIIDqDCCApCgAwIBAgIJAP7c4wEPyUj/MA0GCSqGSIb3DQEBBQUAMDQxCzAJBgNV BAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAPBgNVBAMMCENlcnRpZ25hMB4X DTA3MDYyOTE1MTMwNVoXDTI3MDYyOTE1MTMwNVowNDELMAkGA1UEBhMCRlIxEjAQ BgNVBAoMCURoaW15b3RpczERMA8GA1UEAwwIQ2VydGlnbmEwggEiMA0GCSqGSIb3 DQEBAQUAA4IBDwAwggEKAoIBAQDIaPHJ1tazNHUmgh7stL7qXOEm7RFHYeGifBZ4 QCHkYJ5ayGPhxLGWkv8YbWkj4Sti993iNi+RB7lIzw7sebYs5zRLcAglozyHGxny gQcPOJAZ0xH+hrTy0V4eHpbNgGzOOzGTtvKg0KmVEn2lmsxryIRWijOp5yIVUxbw zBfsV1/pogqYCd7jX5xv3EjjhQsVWqa6n6xI4wmy9/Qy3l40vhx4XUJbzg4ij02Q 130yGLMLLGq/jj8UEYkgDncUtT2UCIf3JR7VsmAA7G8qKCVuKj4YYxclPz5EIBb2 JsglrgVKtOdjLPOMFlN+XPsRGgjBRmKfIrjxwo1p3Po6WAbfAgMBAAGjgbwwgbkw DwYDVR0TAQH/BAUwAwEB/zAdBgNVHQ4EFgQUGu3+QTmQtCRZvgHyUtVF9lo53BEw ZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF9lo53BGhOKQ2MDQxCzAJBgNVBAYT AkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAPBgNVBAMMCENlcnRpZ25hggkA/tzj AQ/JSP8wDgYDVR0PAQH/BAQDAgEGMBEGCWCGSAGG+EIBAQQEAwIABzANBgkqhkiG 9w0BAQUFAAOCAQEAhQMeknH2Qq/ho2Ge6/PAD/Kl1NqV5ta+aDY9fm4fTIrv0Q8h bV6lUmPOEvjvKtpv6zf+EwLHyzs+ImvaYS5/1HI93TDhHkxAGYwP15zRgzB7mFnc fca5DClMoTOi62c6ZYTTluLtdkVwj7Ur3vkj1kluPBS1xp81HlDQwY9qcEQCYsuu HWhBp6pX6FOqB9IG9tUUBguRA3UsbHK1YZWaDYu5Def131TN3ubY1gkIl2PlwS6w t0QmwCbAr1UwnjvVNioZBPRcHv/PLLf/0P2HQBHVESO7SMAhqaQoLf0V+LBOK/Qw WyH8EZE0vkHve52Xdf+XlcCWWC/qu0bXu+TZLg== -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","piste.gouv.fr/185.24.185.46","443","INFO","E3B6A2DB2ED7CE48842F7AC53241C7B71D54144BFB40C11F3F1D0B42F5EEA12D","",""
"intermediate_cert_notBefore <#2>","piste.gouv.fr/185.24.185.46","443","INFO","2007-06-29 15:13","",""
"intermediate_cert_notAfter <#2>","piste.gouv.fr/185.24.185.46","443","OK","2027-06-29 15:13","",""
"intermediate_cert_expiration <#2>","piste.gouv.fr/185.24.185.46","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","piste.gouv.fr/185.24.185.46","443","INFO","Certigna <-- Certigna","",""
"intermediate_cert_badOCSP","piste.gouv.fr/185.24.185.46","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","piste.gouv.fr/185.24.185.46","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","piste.gouv.fr/185.24.185.46","443","INFO","0 seconds from localtime","",""
"HSTS_time","piste.gouv.fr/185.24.185.46","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","piste.gouv.fr/185.24.185.46","443","OK","includes subdomains","",""
"HSTS_preload","piste.gouv.fr/185.24.185.46","443","INFO","domain is NOT marked for preloading","",""
"HPKP","piste.gouv.fr/185.24.185.46","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","piste.gouv.fr/185.24.185.46","443","INFO","Apache","",""
"banner_application","piste.gouv.fr/185.24.185.46","443","INFO","No application banner found","",""
"cookie_count","piste.gouv.fr/185.24.185.46","443","INFO","1 at '/'","",""
"cookie_secure","piste.gouv.fr/185.24.185.46","443","OK","All (1) at '/' marked as secure","",""
"cookie_httponly","piste.gouv.fr/185.24.185.46","443","OK","All (1) at '/' marked as HttpOnly","",""
"X-Frame-Options","piste.gouv.fr/185.24.185.46","443","OK","SAMEORIGIN","",""
"X-Content-Type-Options","piste.gouv.fr/185.24.185.46","443","OK","nosniff","",""
"Content-Security-Policy","piste.gouv.fr/185.24.185.46","443","OK","default-src 'self' data: java: java.com local-trust.com w3.org; connect-src *; font-src 'self' data: *; frame-src *; img-src 'self' data:; script-src 'self' 'unsafe-eval' 'unsafe-inline' *; style-src 'self' 'unsafe-inline' *","",""
"Expect-CT","piste.gouv.fr/185.24.185.46","443","OK","max-age=86400, enforce, report-uri=https://example.com/ct-report","",""
"X-XSS-Protection","piste.gouv.fr/185.24.185.46","443","INFO","1; mode=block","",""
"Referrer-Policy_multiple","piste.gouv.fr/185.24.185.46","443","MEDIUM","Multiple Referrer-Policy headers. Using first header: same-origin","",""
"Referrer-Policy","piste.gouv.fr/185.24.185.46","443","INFO","same-origin","",""
"Cache-Control","piste.gouv.fr/185.24.185.46","443","INFO","no-store, no-cache, must-revalidate, post-check=0, pre-check=0, no-cache","",""
"Pragma","piste.gouv.fr/185.24.185.46","443","INFO","no-cache","",""
"banner_reverseproxy","piste.gouv.fr/185.24.185.46","443","INFO","--","","CWE-200"
"heartbleed","piste.gouv.fr/185.24.185.46","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","piste.gouv.fr/185.24.185.46","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","piste.gouv.fr/185.24.185.46","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","piste.gouv.fr/185.24.185.46","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","piste.gouv.fr/185.24.185.46","443","OK","supported","","CWE-310"
"secure_client_renego","piste.gouv.fr/185.24.185.46","443","HIGH","VULNERABLE, DoS threat","CVE-2011-1473","CWE-310"
"CRIME_TLS","piste.gouv.fr/185.24.185.46","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","piste.gouv.fr/185.24.185.46","443","MEDIUM","potentially VULNERABLE, gzip deflate HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","piste.gouv.fr/185.24.185.46","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","piste.gouv.fr/185.24.185.46","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","piste.gouv.fr/185.24.185.46","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","piste.gouv.fr/185.24.185.46","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","piste.gouv.fr/185.24.185.46","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","piste.gouv.fr/185.24.185.46","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=19CB6C5C2CC9AC83C2044F991040E65F306B28EC9B0CB30021D3014D4BA446C6","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","piste.gouv.fr/185.24.185.46","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","piste.gouv.fr/185.24.185.46","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","piste.gouv.fr/185.24.185.46","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","piste.gouv.fr/185.24.185.46","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","piste.gouv.fr/185.24.185.46","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","piste.gouv.fr/185.24.185.46","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_442","piste.gouv.fr/185.24.185.46","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_500","piste.gouv.fr/185.24.185.46","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_60","piste.gouv.fr/185.24.185.46","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","piste.gouv.fr/185.24.185.46","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_81","piste.gouv.fr/185.24.185.46","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","piste.gouv.fr/185.24.185.46","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_X","piste.gouv.fr/185.24.185.46","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-chrome_74_win10","piste.gouv.fr/185.24.185.46","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-chrome_79_win10","piste.gouv.fr/185.24.185.46","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-firefox_66_win81","piste.gouv.fr/185.24.185.46","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-firefox_71_win10","piste.gouv.fr/185.24.185.46","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
